381,HIGH
47063,HIGH
48607,HIGH
503,HIGH
51779,HIGH
51790,HIGH
52438,HIGH
52810,HIGH
52819,HIGH
64,HIGH
742,HIGH
836,LOW
47063,381,HIGH
381,48607,HIGH
381,503,HIGH
51779,381,HIGH
381,51790,HIGH
381,52438,HIGH
52810,381,HIGH
52819,381,HIGH
381,64,HIGH
381,742,HIGH
47063,48607,HIGH
47063,503,HIGH
51779,47063,HIGH
47063,51790,HIGH
47063,52438,HIGH
47063,52810,HIGH
47063,52819,HIGH
47063,64,HIGH
47063,742,HIGH
48607,503,HIGH
51779,48607,HIGH
48607,51790,HIGH
52438,48607,HIGH
52810,48607,HIGH
52819,48607,HIGH
48607,64,HIGH
48607,742,HIGH
51779,503,HIGH
503,51790,HIGH
52438,503,HIGH
52810,503,HIGH
52819,503,HIGH
503,64,HIGH
503,742,HIGH
51779,51790,HIGH
51779,52438,HIGH
51779,52810,HIGH
51779,52819,HIGH
51779,64,HIGH
51779,742,HIGH
52438,51790,HIGH
52810,51790,HIGH
52819,51790,HIGH
64,51790,HIGH
51790,742,HIGH
52810,52438,HIGH
52819,52438,HIGH
52438,64,HIGH
52438,742,HIGH
52819,52810,HIGH
52810,64,HIGH
52810,742,HIGH
52819,64,HIGH
52819,742,HIGH
64,742,HIGH
47063,381,48607,HIGH
47063,381,503,HIGH
51779,47063,381,HIGH
47063,381,51790,HIGH
47063,381,52438,HIGH
52810,47063,381,HIGH
47063,52819,381,HIGH
47063,381,64,HIGH
47063,381,742,HIGH
381,48607,503,HIGH
51779,381,48607,HIGH
381,48607,51790,HIGH
381,48607,52438,HIGH
52810,381,48607,HIGH
52819,381,48607,HIGH
381,48607,64,HIGH
381,48607,742,HIGH
51779,381,503,HIGH
381,503,51790,HIGH
381,503,52438,HIGH
52810,381,503,HIGH
52819,381,503,HIGH
381,503,64,HIGH
381,503,742,HIGH
51779,381,51790,HIGH
51779,381,52438,HIGH
51779,52810,381,HIGH
51779,52819,381,HIGH
51779,381,64,HIGH
51779,381,742,HIGH
381,51790,52438,HIGH
52810,381,51790,HIGH
52819,381,51790,HIGH
381,64,51790,HIGH
381,51790,742,HIGH
52810,381,52438,HIGH
52819,381,52438,HIGH
381,64,52438,HIGH
381,742,52438,HIGH
52810,52819,381,HIGH
52810,381,64,HIGH
52810,381,742,HIGH
52819,381,64,HIGH
52819,381,742,HIGH
381,64,742,HIGH
47063,48607,503,HIGH
51779,47063,48607,HIGH
47063,48607,51790,HIGH
47063,52438,48607,HIGH
47063,52810,48607,HIGH
47063,52819,48607,HIGH
47063,48607,64,HIGH
47063,48607,742,HIGH
51779,47063,503,HIGH
47063,503,51790,HIGH
47063,52438,503,HIGH
47063,52810,503,HIGH
47063,52819,503,HIGH
47063,503,64,HIGH
47063,503,742,HIGH
51779,47063,51790,HIGH
51779,47063,52438,HIGH
51779,47063,52810,HIGH
51779,47063,52819,HIGH
51779,47063,64,HIGH
51779,47063,742,HIGH
47063,52438,51790,HIGH
47063,52810,51790,HIGH
47063,52819,51790,HIGH
47063,64,51790,HIGH
47063,51790,742,HIGH
52810,47063,52438,HIGH
47063,52819,52438,HIGH
47063,52438,64,HIGH
47063,52438,742,HIGH
47063,52819,52810,HIGH
47063,52810,64,HIGH
47063,52810,742,HIGH
47063,52819,64,HIGH
47063,52819,742,HIGH
47063,64,742,HIGH
51779,48607,503,HIGH
48607,51790,503,HIGH
52438,48607,503,HIGH
52810,48607,503,HIGH
52819,48607,503,HIGH
48607,64,503,HIGH
48607,742,503,HIGH
51779,48607,51790,HIGH
51779,52438,48607,HIGH
51779,52810,48607,HIGH
51779,52819,48607,HIGH
51779,48607,64,HIGH
51779,48607,742,HIGH
52438,48607,51790,HIGH
52810,48607,51790,HIGH
52819,48607,51790,HIGH
64,48607,51790,HIGH
48607,51790,742,HIGH
52810,52438,48607,HIGH
52819,52438,48607,HIGH
52438,48607,64,HIGH
52438,48607,742,HIGH
52819,52810,48607,HIGH
52810,48607,64,HIGH
52810,48607,742,HIGH
52819,48607,64,HIGH
52819,48607,742,HIGH
48607,64,742,HIGH
51779,503,51790,HIGH
51779,52438,503,HIGH
51779,52810,503,HIGH
51779,52819,503,HIGH
51779,503,64,HIGH
51779,503,742,HIGH
52438,503,51790,HIGH
52810,503,51790,HIGH
52819,503,51790,HIGH
64,503,51790,HIGH
503,51790,742,HIGH
52810,52438,503,HIGH
52819,52438,503,HIGH
52438,503,64,HIGH
52438,503,742,HIGH
52819,52810,503,HIGH
52810,503,64,HIGH
52810,503,742,HIGH
52819,503,64,HIGH
52819,503,742,HIGH
503,64,742,HIGH
51779,52438,51790,HIGH
51779,52810,51790,HIGH
51779,52819,51790,HIGH
51779,64,51790,HIGH
51779,51790,742,HIGH
51779,52810,52438,HIGH
51779,52819,52438,HIGH
51779,52438,64,HIGH
51779,52438,742,HIGH
51779,52819,52810,HIGH
51779,52810,64,HIGH
51779,52810,742,HIGH
51779,52819,64,HIGH
51779,52819,742,HIGH
51779,64,742,HIGH
52810,52438,51790,HIGH
52819,52438,51790,HIGH
52438,64,51790,HIGH
52438,51790,742,HIGH
52819,52810,51790,HIGH
52810,64,51790,HIGH
52810,51790,742,HIGH
52819,64,51790,HIGH
52819,51790,742,HIGH
64,51790,742,HIGH
52810,52819,52438,HIGH
52810,52438,64,HIGH
52810,52438,742,HIGH
52819,52438,64,HIGH
52819,52438,742,HIGH
52438,64,742,HIGH
52819,52810,64,HIGH
52819,52810,742,HIGH
52810,64,742,HIGH
52819,64,742,HIGH
47063,381,48607,503,HIGH
51779,47063,381,48607,HIGH
47063,381,48607,51790,HIGH
47063,381,48607,52438,HIGH
52810,47063,381,48607,HIGH
47063,52819,381,48607,HIGH
47063,381,48607,64,HIGH
47063,381,48607,742,HIGH
51779,47063,381,503,HIGH
47063,381,503,51790,HIGH
47063,381,503,52438,HIGH
52810,47063,381,503,HIGH
47063,52819,381,503,HIGH
47063,381,503,64,HIGH
47063,381,503,742,HIGH
51779,47063,381,51790,HIGH
51779,47063,381,52438,HIGH
51779,47063,381,52810,HIGH
51779,47063,52819,381,HIGH
51779,47063,381,64,HIGH
51779,47063,381,742,HIGH
47063,381,51790,52438,HIGH
52810,47063,381,51790,HIGH
47063,52819,381,51790,HIGH
47063,381,64,51790,HIGH
