1117,HIGH
1117,MEDIUM
1158,HIGH
1158,LOW
180,HIGH
306,HIGH
306,MEDIUM
50773,HIGH
52111,HIGH
52617,HIGH
559,HIGH
559,MEDIUM
878,HIGH
904,HIGH
904,MEDIUM
1158,1117,HIGH
180,1117,HIGH
306,1117,HIGH
50773,1117,HIGH
52111,1117,HIGH
52617,1117,HIGH
559,1117,HIGH
878,1117,HIGH
904,1117,HIGH
180,1158,HIGH
306,1158,HIGH
1158,50773,HIGH
52111,1158,HIGH
52617,1158,HIGH
559,1158,HIGH
1158,878,HIGH
904,1158,HIGH
904,1158,MEDIUM
306,180,HIGH
306,180,MEDIUM
180,50773,HIGH
52111,180,HIGH
52617,180,HIGH
180,559,HIGH
180,878,HIGH
180,904,HIGH
180,904,MEDIUM
306,50773,HIGH
306,52111,HIGH
306,52617,HIGH
306,559,HIGH
306,878,HIGH
306,904,HIGH
306,904,MEDIUM
52111,50773,HIGH
52617,50773,HIGH
559,50773,HIGH
878,50773,HIGH
904,50773,HIGH
52617,52111,HIGH
52111,559,HIGH
52111,878,HIGH
52111,904,HIGH
52617,559,HIGH
52617,878,HIGH
52617,904,HIGH
559,878,HIGH
559,904,HIGH
904,878,HIGH
180,1158,1117,HIGH
306,1158,1117,HIGH
1158,50773,1117,HIGH
52111,1158,1117,HIGH
52617,1158,1117,HIGH
559,1158,1117,HIGH
1158,878,1117,HIGH
904,1158,1117,HIGH
306,180,1117,HIGH
180,50773,1117,HIGH
52111,180,1117,HIGH
52617,180,1117,HIGH
180,559,1117,HIGH
180,878,1117,HIGH
180,904,1117,HIGH
306,50773,1117,HIGH
306,52111,1117,HIGH
306,52617,1117,HIGH
306,559,1117,HIGH
306,878,1117,HIGH
306,904,1117,HIGH
52111,50773,1117,HIGH
52617,50773,1117,HIGH
559,50773,1117,HIGH
878,50773,1117,HIGH
904,50773,1117,HIGH
52617,52111,1117,HIGH
52111,559,1117,HIGH
52111,878,1117,HIGH
52111,904,1117,HIGH
52617,559,1117,HIGH
52617,878,1117,HIGH
52617,904,1117,HIGH
559,878,1117,HIGH
559,904,1117,HIGH
904,878,1117,HIGH
306,180,1158,HIGH
180,1158,50773,HIGH
52111,180,1158,HIGH
52617,180,1158,HIGH
180,1158,559,HIGH
180,1158,878,HIGH
904,180,1158,HIGH
904,180,1158,MEDIUM
306,1158,50773,HIGH
306,52111,1158,HIGH
306,52617,1158,HIGH
306,559,1158,HIGH
306,1158,878,HIGH
306,904,1158,HIGH
52111,1158,50773,HIGH
52617,1158,50773,HIGH
559,1158,50773,HIGH
878,1158,50773,HIGH
904,1158,50773,HIGH
52617,52111,1158,HIGH
52111,1158,559,HIGH
52111,1158,878,HIGH
904,52111,1158,HIGH
52617,559,1158,HIGH
52617,1158,878,HIGH
904,52617,1158,HIGH
559,1158,878,HIGH
904,559,1158,HIGH
904,1158,878,HIGH
306,180,50773,HIGH
306,52111,180,HIGH
306,52617,180,HIGH
306,180,559,HIGH
306,180,878,HIGH
306,180,904,HIGH
306,180,904,MEDIUM
52111,180,50773,HIGH
52617,180,50773,HIGH
180,559,50773,HIGH
878,180,50773,HIGH
180,904,50773,HIGH
52111,180,52617,HIGH
52111,180,559,HIGH
52111,180,878,HIGH
52111,180,904,HIGH
52617,180,559,HIGH
52617,180,878,HIGH
52617,180,904,HIGH
878,180,559,HIGH
180,904,559,HIGH
180,904,878,HIGH
306,52111,50773,HIGH
306,52617,50773,HIGH
306,559,50773,HIGH
306,878,50773,HIGH
306,904,50773,HIGH
306,52617,52111,HIGH
306,52111,559,HIGH
306,52111,878,HIGH
306,52111,904,HIGH
306,52617,559,HIGH
306,52617,878,HIGH
306,52617,904,HIGH
306,559,878,HIGH
306,559,904,HIGH
306,904,878,HIGH
52617,52111,50773,HIGH
52111,559,50773,HIGH
878,52111,50773,HIGH
52111,904,50773,HIGH
52617,559,50773,HIGH
878,52617,50773,HIGH
52617,904,50773,HIGH
878,559,50773,HIGH
559,904,50773,HIGH
878,904,50773,HIGH
52617,52111,559,HIGH
52617,52111,878,HIGH
52617,52111,904,HIGH
878,52111,559,HIGH
52111,904,559,HIGH
52111,904,878,HIGH
52617,559,878,HIGH
52617,559,904,HIGH
52617,904,878,HIGH
559,904,878,HIGH
306,180,1158,1117,HIGH
180,1158,50773,1117,HIGH
52111,180,1158,1117,HIGH
52617,180,1158,1117,HIGH
180,1158,559,1117,HIGH
180,1158,878,1117,HIGH
904,180,1158,1117,HIGH
306,1158,50773,1117,HIGH
306,52111,1158,1117,HIGH
306,52617,1158,1117,HIGH
306,559,1158,1117,HIGH
306,1158,878,1117,HIGH
306,904,1158,1117,HIGH
52111,1158,50773,1117,HIGH
52617,1158,50773,1117,HIGH
559,1158,50773,1117,HIGH
878,1158,50773,1117,HIGH
904,1158,50773,1117,HIGH
52617,52111,1158,1117,HIGH
52111,1158,559,1117,HIGH
52111,1158,878,1117,HIGH
904,52111,1158,1117,HIGH
52617,559,1158,1117,HIGH
52617,1158,878,1117,HIGH
904,52617,1158,1117,HIGH
559,1158,878,1117,HIGH
904,559,1158,1117,HIGH
904,1158,878,1117,HIGH
306,180,50773,1117,HIGH
306,52111,180,1117,HIGH
306,52617,180,1117,HIGH
306,180,559,1117,HIGH
306,180,878,1117,HIGH
306,180,904,1117,HIGH
52111,180,50773,1117,HIGH
52617,180,50773,1117,HIGH
180,559,50773,1117,HIGH
878,180,50773,1117,HIGH
180,904,50773,1117,HIGH
52617,52111,180,1117,HIGH
52111,180,559,1117,HIGH
